,Cont. urban fabric,Industrial/commercial units,Construction sites,Agricultural,Non-irrigated arable land,Permanently irrigated land,Rice fields,Pastures,Broad-leaved forest,Transitional woodland-shrub,Sparsely vegetated areas,Inland marshes,Salines,Water bodies,Marine waters,row total,user's accuracy
Cont. urban fabric,1634.0,102.0,63.0,19.0,18.0,235.0,1841.0,42.0,0.0,0.0,0.0,107.0,0.0,36.0,4.0,4101.0,0.3984394
Industrial/commercial units,10.0,4265.0,0.0,101.0,8.0,744.0,1357.0,26.0,0.0,0.0,0.0,324.0,18.0,4.0,44.0,6901.0,0.6180264
Construction sites,40.0,37.0,989.0,14.0,7.0,190.0,1365.0,21.0,0.0,0.0,0.0,19.0,11.0,13.0,0.0,2706.0,0.36548412
Agricultural,1.0,62.0,0.0,62177.0,27.0,81653.0,9213.0,199.0,0.0,2.0,0.0,98.0,7.0,61.0,1.0,153501.0,0.40505925
Non-irrigated arable land,0.0,4.0,0.0,13.0,7785.0,1477.0,20644.0,294.0,0.0,0.0,0.0,1194.0,6.0,0.0,11.0,31428.0,0.24770905
Permanently irrigated land,1.0,81.0,4.0,9344.0,56.0,74409.0,18504.0,330.0,7.0,32.0,1.0,498.0,0.0,189.0,114.0,103570.0,0.7184416
Rice fields,22.0,15.0,8.0,1460.0,25.0,5105.0,508064.0,598.0,0.0,7.0,0.0,284.0,19.0,817.0,6.0,516430.0,0.9838003
Pastures,9.0,12.0,14.0,1427.0,456.0,5529.0,7603.0,21121.0,49.0,86.0,2.0,4462.0,579.0,1041.0,18.0,42408.0,0.49804282
Broad-leaved forest,0.0,0.0,0.0,16.0,0.0,97.0,98.0,82.0,697.0,1.0,6.0,37.0,80.0,84.0,0.0,1198.0,0.581803
Transitional woodland-shrub,4.0,0.0,6.0,220.0,76.0,1472.0,2873.0,1824.0,20.0,2259.0,2.0,1137.0,478.0,2014.0,0.0,12385.0,0.18239807
Sparsely vegetated areas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,3.0,0.0,20.0,0.8
Inland marshes,14.0,197.0,17.0,458.0,259.0,5430.0,6283.0,1376.0,20.0,22.0,0.0,51016.0,378.0,183.0,189.0,65842.0,0.77482456
Salines,0.0,0.0,0.0,181.0,12.0,687.0,665.0,363.0,5.0,21.0,0.0,411.0,5266.0,1448.0,0.0,9059.0,0.5813004
Water bodies,3.0,0.0,3.0,380.0,41.0,2188.0,3008.0,824.0,43.0,70.0,2.0,1177.0,3022.0,23351.0,0.0,34112.0,0.68453914
Marine waters,0.0,0.0,0.0,31.0,0.0,227.0,599.0,0.0,0.0,0.0,0.0,649.0,0.0,7.0,4214.0,5727.0,0.73581284
column total,1738.0,4775.0,1104.0,75841.0,8770.0,179443.0,582117.0,27100.0,842.0,2500.0,29.0,61413.0,9864.0,29251.0,4601.0,0.0,0.0
producer's accuracy,0.9401611,0.8931937,0.8958333,0.8198336,0.8876853,0.4146665,0.87278676,0.7793727,0.827791,0.9036,0.55172414,0.8307036,0.5338605,0.79829746,0.91588783,0.0,0.77549255
