,Cont. urban fabric,Industrial/commercial units,Construction sites,Agricultural,Non-irrigated arable land,Permanently irrigated land,Rice fields,Pastures,Broad-leaved forest,Transitional woodland-shrub,Sparsely vegetated areas,Inland marshes,Salines,Water bodies,Marine waters,row total,user's accuracy
Cont. urban fabric,1611.0,94.0,56.0,25.0,0.0,134.0,715.0,20.0,0.0,6.0,0.0,16.0,0.0,18.0,0.0,2695.0,0.5977737
Industrial/commercial units,5.0,4230.0,0.0,60.0,1.0,323.0,1931.0,0.0,0.0,0.0,0.0,28.0,5.0,10.0,8.0,6601.0,0.640812
Construction sites,51.0,41.0,994.0,12.0,0.0,109.0,581.0,0.0,0.0,0.0,0.0,19.0,0.0,7.0,0.0,1814.0,0.5479603
Agricultural,2.0,99.0,0.0,57115.0,77.0,81401.0,20323.0,685.0,3.0,9.0,0.0,636.0,31.0,375.0,59.0,160815.0,0.35515967
Non-irrigated arable land,4.0,18.0,3.0,394.0,7375.0,3702.0,14848.0,189.0,0.0,11.0,0.0,4525.0,26.0,0.0,31.0,31126.0,0.23694018
Permanently irrigated land,8.0,12.0,4.0,6928.0,95.0,57815.0,17271.0,347.0,5.0,12.0,0.0,391.0,17.0,237.0,56.0,83198.0,0.69490856
Rice fields,17.0,9.0,0.0,4174.0,29.0,10923.0,462820.0,789.0,13.0,43.0,0.0,592.0,109.0,1612.0,14.0,481144.0,0.9619158
Pastures,10.0,86.0,14.0,3457.0,526.0,11338.0,20215.0,21505.0,68.0,139.0,1.0,5372.0,978.0,2153.0,8.0,65870.0,0.3264764
Broad-leaved forest,0.0,0.0,0.0,0.0,0.0,39.0,5.0,15.0,690.0,0.0,6.0,0.0,0.0,56.0,0.0,811.0,0.85080147
Transitional woodland-shrub,3.0,0.0,0.0,389.0,15.0,1646.0,4208.0,698.0,18.0,2185.0,2.0,332.0,145.0,667.0,0.0,10308.0,0.21197128
Sparsely vegetated areas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,3.0,0.0,20.0,0.8
Inland marshes,18.0,174.0,28.0,1046.0,563.0,6377.0,11142.0,1403.0,0.0,4.0,0.0,47569.0,297.0,70.0,242.0,68933.0,0.6900759
Salines,2.0,0.0,5.0,470.0,30.0,1251.0,9338.0,397.0,18.0,28.0,2.0,386.0,5170.0,2260.0,0.0,19357.0,0.26708683
Water bodies,0.0,0.0,0.0,1148.0,43.0,2989.0,16976.0,916.0,21.0,61.0,2.0,649.0,2989.0,21529.0,0.0,47323.0,0.45493734
Marine waters,7.0,12.0,0.0,623.0,16.0,1396.0,1744.0,136.0,5.0,2.0,0.0,898.0,97.0,254.0,4183.0,9373.0,0.44628188
column total,1738.0,4775.0,1104.0,75841.0,8770.0,179443.0,582117.0,27100.0,842.0,2500.0,29.0,61413.0,9864.0,29251.0,4601.0,0.0,0.0
producer's accuracy,0.9269275,0.8858639,0.9003623,0.7530887,0.840935,0.32219145,0.79506356,0.79354244,0.81947744,0.874,0.55172414,0.7745754,0.52412814,0.736009,0.9091502,0.0,0.70225936
