,Cont. urban fabric,Industrial/commercial units,Construction sites,Agricultural,Non-irrigated arable land,Permanently irrigated land,Rice fields,Pastures,Broad-leaved forest,Transitional woodland-shrub,Sparsely vegetated areas,Inland marshes,Salines,Water bodies,Marine waters,row total,user's accuracy
Cont. urban fabric,1608.0,107.0,45.0,35.0,0.0,183.0,907.0,30.0,0.0,6.0,0.0,0.0,0.0,26.0,0.0,2947.0,0.54563963
Industrial/commercial units,39.0,4248.0,2.0,62.0,3.0,498.0,4088.0,0.0,0.0,0.0,0.0,77.0,5.0,24.0,0.0,9046.0,0.4695998
Construction sites,53.0,42.0,1009.0,8.0,0.0,88.0,649.0,9.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,1893.0,0.5330164
Agricultural,11.0,42.0,1.0,37177.0,83.0,53635.0,41635.0,1262.0,10.0,31.0,3.0,1103.0,159.0,1150.0,58.0,136360.0,0.2726386
Non-irrigated arable land,0.0,4.0,3.0,207.0,7467.0,3440.0,20017.0,428.0,0.0,0.0,0.0,5760.0,11.0,0.0,103.0,37440.0,0.19943911
Permanently irrigated land,0.0,18.0,0.0,6788.0,92.0,46921.0,16310.0,516.0,5.0,22.0,0.0,403.0,74.0,577.0,111.0,71837.0,0.65315926
Rice fields,7.0,68.0,2.0,10363.0,66.0,21460.0,394885.0,1029.0,21.0,45.0,0.0,1064.0,155.0,1823.0,93.0,431081.0,0.91603434
Pastures,8.0,62.0,5.0,2480.0,379.0,7665.0,8077.0,18812.0,72.0,64.0,4.0,6853.0,554.0,978.0,47.0,46060.0,0.40842378
Broad-leaved forest,0.0,0.0,0.0,8.0,0.0,68.0,10.0,16.0,690.0,0.0,6.0,10.0,0.0,56.0,0.0,864.0,0.7986111
Transitional woodland-shrub,0.0,7.0,3.0,1164.0,61.0,3702.0,6219.0,1319.0,12.0,2190.0,0.0,800.0,307.0,746.0,9.0,16539.0,0.1324143
Sparsely vegetated areas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,3.0,0.0,20.0,0.8
Inland marshes,7.0,162.0,18.0,725.0,512.0,6641.0,8265.0,1411.0,11.0,16.0,0.0,43050.0,312.0,386.0,76.0,61592.0,0.6989544
Salines,0.0,0.0,2.0,3151.0,21.0,7317.0,16658.0,896.0,2.0,42.0,0.0,666.0,5341.0,2497.0,0.0,36593.0,0.14595687
Water bodies,4.0,14.0,8.0,12588.0,75.0,25469.0,58429.0,1079.0,18.0,83.0,0.0,987.0,2908.0,20710.0,154.0,122526.0,0.16902535
Marine waters,1.0,1.0,6.0,1085.0,11.0,2356.0,5968.0,293.0,0.0,1.0,0.0,640.0,38.0,240.0,3950.0,14590.0,0.2707334
column total,1738.0,4775.0,1104.0,75841.0,8770.0,179443.0,582117.0,27100.0,842.0,2500.0,29.0,61413.0,9864.0,29251.0,4601.0,0.0,0.0
producer's accuracy,0.92520136,0.88963354,0.91394925,0.4901966,0.8514253,0.26148137,0.67836016,0.69416976,0.81947744,0.876,0.55172414,0.70099163,0.5414639,0.70800996,0.858509,0.0,0.5943816
