,Cont. urban fabric,Industrial/commercial units,Construction sites,Agricultural,Non-irrigated arable land,Permanently irrigated land,Rice fields,Pastures,Broad-leaved forest,Transitional woodland-shrub,Sparsely vegetated areas,Inland marshes,Salines,Water bodies,Marine waters,row total,user's accuracy
Cont. urban fabric,1635.0,91.0,63.0,32.0,7.0,125.0,865.0,20.0,0.0,0.0,0.0,17.0,0.0,18.0,0.0,2873.0,0.56909156
Industrial/commercial units,5.0,4256.0,0.0,37.0,10.0,339.0,922.0,0.0,0.0,6.0,0.0,69.0,15.0,0.0,8.0,5667.0,0.75101465
Construction sites,42.0,66.0,988.0,9.0,0.0,101.0,818.0,10.0,0.0,0.0,0.0,4.0,11.0,21.0,0.0,2070.0,0.47729468
Agricultural,1.0,76.0,0.0,63928.0,33.0,88148.0,9592.0,220.0,3.0,12.0,0.0,120.0,0.0,85.0,0.0,162218.0,0.39408696
Non-irrigated arable land,0.0,9.0,0.0,37.0,7794.0,1035.0,20257.0,197.0,0.0,0.0,0.0,1036.0,6.0,0.0,13.0,30384.0,0.25651658
Permanently irrigated land,2.0,63.0,4.0,7150.0,63.0,68021.0,17887.0,356.0,3.0,24.0,1.0,426.0,7.0,186.0,134.0,94327.0,0.7211191
Rice fields,17.0,10.0,8.0,1823.0,17.0,5844.0,509838.0,638.0,0.0,1.0,0.0,287.0,19.0,898.0,14.0,519414.0,0.98156387
Pastures,4.0,15.0,9.0,1448.0,509.0,5568.0,8354.0,21991.0,63.0,79.0,0.0,3856.0,724.0,1295.0,3.0,43918.0,0.5007286
Broad-leaved forest,0.0,0.0,0.0,0.0,0.0,59.0,30.0,22.0,697.0,0.0,6.0,14.0,49.0,64.0,0.0,941.0,0.7407014
Transitional woodland-shrub,4.0,0.0,7.0,225.0,30.0,1481.0,2477.0,1592.0,24.0,2272.0,4.0,900.0,449.0,1734.0,0.0,11199.0,0.20287526
Sparsely vegetated areas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,3.0,0.0,20.0,0.8
Inland marshes,25.0,189.0,25.0,456.0,216.0,5854.0,6909.0,1051.0,3.0,16.0,0.0,52472.0,345.0,165.0,217.0,67943.0,0.7722944
Salines,0.0,0.0,0.0,213.0,21.0,605.0,706.0,163.0,14.0,18.0,0.0,313.0,5080.0,1032.0,0.0,8165.0,0.62216777
Water bodies,3.0,0.0,0.0,453.0,69.0,2127.0,2876.0,830.0,34.0,72.0,2.0,1158.0,3159.0,23749.0,0.0,34532.0,0.6877389
Marine waters,0.0,0.0,0.0,30.0,1.0,136.0,586.0,10.0,0.0,0.0,0.0,741.0,0.0,1.0,4212.0,5717.0,0.73675007
column total,1738.0,4775.0,1104.0,75841.0,8770.0,179443.0,582117.0,27100.0,842.0,2500.0,29.0,61413.0,9864.0,29251.0,4601.0,0.0,0.0
producer's accuracy,0.9407365,0.8913089,0.89492756,0.8429214,0.8887115,0.37906745,0.8758342,0.811476,0.827791,0.9088,0.55172414,0.85441196,0.51500404,0.8119039,0.91545314,0.0,0.77517515
