,Cont. urban fabric,Industrial/commercial units,Construction sites,Agricultural,Non-irrigated arable land,Permanently irrigated land,Rice fields,Pastures,Broad-leaved forest,Transitional woodland-shrub,Sparsely vegetated areas,Inland marshes,Salines,Water bodies,Marine waters,row total,user's accuracy
Cont. urban fabric,1614.0,110.0,72.0,18.0,0.0,167.0,908.0,20.0,0.0,6.0,0.0,0.0,0.0,25.0,0.0,2940.0,0.5489796
Industrial/commercial units,10.0,4253.0,1.0,125.0,17.0,374.0,1936.0,19.0,0.0,0.0,0.0,69.0,5.0,11.0,22.0,6842.0,0.6216019
Construction sites,57.0,19.0,985.0,10.0,0.0,153.0,745.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1969.0,0.5002539
Agricultural,1.0,52.0,2.0,59343.0,21.0,83937.0,12808.0,292.0,4.0,28.0,0.0,230.0,30.0,153.0,18.0,156919.0,0.378176
Non-irrigated arable land,0.0,4.0,0.0,194.0,7741.0,1888.0,21512.0,295.0,0.0,0.0,0.0,1443.0,6.0,5.0,43.0,33131.0,0.23364824
Permanently irrigated land,5.0,57.0,5.0,8780.0,114.0,66073.0,20085.0,347.0,19.0,18.0,1.0,816.0,6.0,167.0,128.0,96621.0,0.6838368
Rice fields,18.0,24.0,6.0,3102.0,29.0,10267.0,492811.0,920.0,2.0,15.0,0.0,1016.0,39.0,1745.0,14.0,510008.0,0.96628094
Pastures,6.0,30.0,11.0,1560.0,410.0,5529.0,8630.0,20648.0,53.0,90.0,0.0,4792.0,708.0,1440.0,25.0,43932.0,0.46999907
Broad-leaved forest,0.0,0.0,0.0,10.0,0.0,82.0,0.0,43.0,690.0,0.0,6.0,10.0,0.0,56.0,0.0,897.0,0.7692308
Transitional woodland-shrub,0.0,6.0,3.0,391.0,39.0,1238.0,3553.0,1638.0,29.0,2212.0,4.0,695.0,430.0,1130.0,0.0,11368.0,0.19458129
Sparsely vegetated areas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,3.0,0.0,20.0,0.8
Inland marshes,26.0,217.0,13.0,525.0,259.0,5110.0,6871.0,1059.0,3.0,25.0,0.0,50251.0,343.0,156.0,151.0,65009.0,0.7729853
Salines,0.0,3.0,3.0,386.0,15.0,1061.0,2188.0,440.0,0.0,19.0,0.0,433.0,5215.0,1610.0,0.0,11373.0,0.45854217
Water bodies,0.0,0.0,3.0,1355.0,125.0,3276.0,9491.0,1338.0,41.0,87.0,2.0,1139.0,3082.0,22697.0,0.0,42636.0,0.53234357
Marine waters,1.0,0.0,0.0,42.0,0.0,288.0,579.0,41.0,0.0,0.0,0.0,519.0,0.0,53.0,4200.0,5723.0,0.7338808
column total,1738.0,4775.0,1104.0,75841.0,8770.0,179443.0,582117.0,27100.0,842.0,2500.0,29.0,61413.0,9864.0,29251.0,4601.0,0.0,0.0
producer's accuracy,0.9286536,0.8906806,0.8922101,0.78246593,0.8826682,0.36821163,0.8465841,0.76191884,0.81947744,0.8848,0.55172414,0.81824696,0.52869016,0.7759393,0.912845,0.0,0.7466727
