,Cont. urban fabric,Industrial/commercial units,Construction sites,Agricultural,Non-irrigated arable land,Permanently irrigated land,Rice fields,Pastures,Broad-leaved forest,Transitional woodland-shrub,Sparsely vegetated areas,Inland marshes,Salines,Water bodies,Marine waters,row total,user's accuracy
Cont. urban fabric,1653.0,110.0,75.0,29.0,0.0,186.0,954.0,30.0,0.0,6.0,0.0,0.0,0.0,25.0,0.0,3068.0,0.5387875
Industrial/commercial units,15.0,4315.0,0.0,58.0,26.0,480.0,1027.0,19.0,0.0,0.0,0.0,59.0,8.0,3.0,30.0,6040.0,0.714404
Construction sites,28.0,37.0,989.0,15.0,7.0,110.0,883.0,0.0,0.0,0.0,0.0,4.0,15.0,0.0,0.0,2088.0,0.473659
Agricultural,0.0,38.0,0.0,63902.0,0.0,80047.0,4945.0,27.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,148966.0,0.42897037
Non-irrigated arable land,0.0,9.0,0.0,15.0,7827.0,1187.0,20771.0,209.0,0.0,0.0,0.0,433.0,6.0,0.0,6.0,30463.0,0.25693464
Permanently irrigated land,0.0,96.0,5.0,9299.0,86.0,80130.0,14996.0,253.0,5.0,29.0,1.0,413.0,18.0,54.0,117.0,105502.0,0.75951165
Rice fields,18.0,15.0,13.0,822.0,16.0,4599.0,520399.0,618.0,0.0,0.0,0.0,319.0,0.0,773.0,0.0,527592.0,0.98636633
Pastures,13.0,36.0,9.0,987.0,590.0,4600.0,8681.0,22929.0,73.0,84.0,0.0,3308.0,761.0,1000.0,9.0,43080.0,0.53224236
Broad-leaved forest,0.0,0.0,0.0,0.0,0.0,43.0,7.0,15.0,697.0,0.0,8.0,2.0,20.0,64.0,0.0,856.0,0.8142523
Transitional woodland-shrub,4.0,0.0,4.0,166.0,88.0,1384.0,2994.0,1450.0,21.0,2302.0,2.0,1039.0,434.0,2183.0,0.0,12071.0,0.190705
Sparsely vegetated areas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,3.0,0.0,20.0,0.8
Inland marshes,7.0,119.0,7.0,307.0,109.0,4757.0,4094.0,827.0,0.0,11.0,0.0,53997.0,240.0,22.0,171.0,64668.0,0.83498794
Salines,0.0,0.0,2.0,28.0,10.0,157.0,286.0,83.0,0.0,0.0,0.0,162.0,5078.0,335.0,0.0,6141.0,0.82690114
Water bodies,0.0,0.0,0.0,207.0,11.0,1703.0,1935.0,630.0,44.0,67.0,2.0,984.0,3284.0,24788.0,0.0,33655.0,0.73653245
Marine waters,0.0,0.0,0.0,6.0,0.0,60.0,145.0,10.0,0.0,0.0,0.0,688.0,0.0,1.0,4268.0,5178.0,0.8242565
column total,1738.0,4775.0,1104.0,75841.0,8770.0,179443.0,582117.0,27100.0,842.0,2500.0,29.0,61413.0,9864.0,29251.0,4601.0,0.0,0.0
producer's accuracy,0.9510932,0.90366495,0.8958333,0.84257853,0.89247435,0.4465485,0.8939766,0.8460886,0.827791,0.9208,0.55172414,0.8792438,0.5148013,0.84742403,0.9276244,0.0,0.8017987
